,scene,effect,simulation,question,truth,marked,length,correct
219,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"After a few seconds of time, it is imposible that the cube collided with the platform sloping down to the right",False,False,107,True
221,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"A few seconds following these changes, the cube will begin to be rolling",False,False,107,True
222,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"A few seconds following these changes, it is imposible that the cube is moving",False,False,107,True
223,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"A few seconds following these changes, it is unlikely that the cube is rolling",True,True,107,True
225,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"A few seconds following these changes, it is reasonable that the cube collided with the platform sloping down to the right",True,True,107,True
226,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"Overall, the cube will not begin to collide with the platform sloping down to the right",False,False,107,True
227,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"Overall, the cube will begin to be moving",True,True,107,True
228,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"Overall, the cube may repeatedly collide with the platform sloping down to the right",True,True,107,True
229,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform sloping down to the right.","After a little bit, the cube is pushed right",7597818,"Overall, the cube will begin to collide with the platform sloping down to the right",True,True,107,True
230,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"After a fraction of a seccond, it is unlikely that cube2 is rolling",True,True,224,True
231,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"Across a few seconds of time, cube2 will not begin to move right of cube1",True,True,224,True
232,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"After a few seconds of time, it is certain that cube1 is below cube2",False,False,224,True
233,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"After a fraction of a seccond, it is imposible that the ball is left of cube1",True,True,224,True
234,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"After a fraction of a seccond, it is certain that cube2 is left of the ball",False,False,224,True
241,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"A few seconds following these changes, it isimposible that cube1 is right of cube2",False,False,224,True
242,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"Overall, it is reasonable that the ball is rolling",True,True,224,True
245,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"Overall, it is imposible that cube2 is left of the ball",False,False,224,True
246,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"Overall, it is unlikely that cube2 collided with cube1",True,True,224,True
247,"In a simulation, there is a ball, a cube (cube1) which is rather big, and another cube (cube2). They are placed in mid-air a bit above a staircase desending to the right, cube1 above of the ball, and cube2 below of the ball.","After a little bit, cube1 does not experience gravity",9959087,"Overall, it is imposible that cube1 is moving",False,False,224,True
248,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.",,2470314,"After a fraction of a seccond, it is imposible that the ball is moving",False,False,77,True
249,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.",,2470314,"After a fraction of a seccond, it is certain that the ball is moving",True,True,77,True
251,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.",,2470314,"After a fraction of a seccond, it is certain that the ball collided with the invPyramid",False,False,77,True
252,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.",,2470314,"After a fraction of a seccond, it is unlikely that the ball is moving",False,False,77,True
253,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.",,2470314,"After a few seconds of time, it is imposible that the ball is rolling",False,False,77,True
254,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"After a few seconds of time, it is imposible that cube1 is below cube0",True,True,161,True
255,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Across a fraction of a second, cube0 will begin to move above cube1",False,False,161,True
256,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Across a few seconds of time, cube1 will begin to be moving",True,True,161,True
258,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"After a fraction of a second, it is imposible that cube0 is rolling",True,True,161,True
259,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Across a fraction of a second, cube1 will begin to be rolling",False,False,161,True
262,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"A few seconds following these changes, cube1 will not begin to collide with the platform",True,True,161,True
263,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"A few seconds following these changes, cube1 will begin to collide with cube0",False,False,161,True
264,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"A few seconds following these changes, it is impossible that cube1 is moving",False,False,161,True
265,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"A few seconds following these changes, it isimpossible that cube1 is right of cube0",False,False,161,True
266,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Overall, it isimpossible that cube0 collided with the platform",False,False,161,True
267,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Overall, it is certain that cube1 collided with the platform",False,False,161,True
268,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Overall, it is reasonable that cube0 is below cube1",True,True,161,True
269,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Overall, it is unlikely that cube0 is above cube1",True,True,161,True
271,"In a simulation, there is a cube (cube0), and another cube (cube1) which is very bouncy. They are placed in mid-air a bit above a platform, cube1 above of cube0.","After a little bit, cube1 is pushed up",8698583,"Overall, it is certain that cube0 is above cube1",False,False,161,True
272,"In a simulation, there is a ball (ball0), another ball (ball1), and a third ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 right of ball0, and ball2 below of ball0.",,5583253,"Across a few seconds of time, ball1 will not begin to move left of ball0",True,True,219,True
273,"In a simulation, there is a ball (ball0), another ball (ball1), and a third ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 right of ball0, and ball2 below of ball0.",,5583253,"After a fraction of a seccond, it is imposible that ball0 is left of ball1",False,False,219,True
276,"In a simulation, there is a ball (ball0), another ball (ball1), and a third ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 right of ball0, and ball2 below of ball0.",,5583253,"After a fraction of a seccond, it is imposible that ball1 is right of ball0",False,False,219,True
278,"In a simulation, there is a ball, and a cube. They are placed in mid-air a bit above a flat platform with a cliff to the right, the cube below of the ball.","After a little bit, the cube becomes quite light",5145735,"After a few seconds of time, it is certain that the cube is rolling",False,False,155,True
279,"In a simulation, there is a ball, and a cube. They are placed in mid-air a bit above a flat platform with a cliff to the right, the cube below of the ball.","After a little bit, the cube becomes quite light",5145735,"After a fraction of a second, it isimpossible that the ball is moving",False,False,155,True
287,"In a simulation, there is a ball, and a cube. They are placed in mid-air a bit above a flat platform with a cliff to the right, the cube below of the ball.","After a little bit, the cube becomes quite light",5145735,"A few seconds following these changes, it is impossible that the cube is right of the ball",False,False,155,True
291,"In a simulation, there is a ball, and a cube. They are placed in mid-air a bit above a flat platform with a cliff to the right, the cube below of the ball.","After a little bit, the cube becomes quite light",5145735,"Overall, it is certain that the cube is rolling",False,False,155,True
293,"In a simulation, there is a ball (ball0), another ball (ball1), and a third ball (ball2). They are placed in mid-air a bit above a platform, ball1 left of ball0, and ball2 below of ball1.",,3910123,"Across a few seconds of time, ball1 will not begin to be moving",False,False,187,True
295,"In a simulation, there is a ball (ball0), another ball (ball1), and a third ball (ball2). They are placed in mid-air a bit above a platform, ball1 left of ball0, and ball2 below of ball1.",,3910123,"Across a few seconds of time, ball2 will begin to be moving",True,True,187,True
298,"In a simulation, there is a ball (ball0), another ball (ball1), and a third ball (ball2). They are placed in mid-air a bit above a platform, ball1 left of ball0, and ball2 below of ball1.",,3910123,"After a few seconds of time, it is imposible that ball1 is moving",False,False,187,True
300,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"After a fraction of a seccond, it is unlikely that cube1 is rolling",True,True,201,True
302,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"After a fraction of a seccond, it is reasonable that cube1 is right of cube0",True,True,201,True
303,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"Across a fraction of a seccond, cube1 will begin to collide with the ball",False,False,201,True
304,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"After a fraction of a seccond, it is certain that cube1 is right of the ball",False,False,201,True
305,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"A few seconds following these changes, it isimposible that cube1 is above the ball",False,False,201,True
306,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"A few seconds following these changes, it is reasonable that cube0 collided with the staircase desending to the right",True,True,201,True
308,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"A few seconds following these changes, it is imposible that cube1 collided with the staircase desending to the right",False,False,201,True
311,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"Overall, it is certain that cube0 is below cube1",False,False,201,True
312,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"Overall, it is certain that cube0 is right of the ball",False,False,201,True
313,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"Overall, it is reasonable that cube1 collided with the staircase desending to the right",True,True,201,True
314,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"Overall, it isimposible that the ball is right of cube0",False,False,201,True
316,"In a simulation, there is a cube (cube0), another cube (cube1), and a ball. They are placed in mid-air a bit above a staircase desending to the right, cube1 right of cube0, and the ball right of cube1.","After a little bit, cube0 is very slipery",7189559,"Overall, it is certain that cube0 is below the ball",False,False,201,True
319,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"After a fraction of a seccond, it is likely that ball1 is moving",True,True,136,True
320,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"After a fraction of a seccond, it is unlikely that ball0 is below ball1",True,True,136,True
321,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"After a fraction of a seccond, it is unlikely that ball0 is right of ball1",True,True,136,True
322,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"After a few seconds of time, it is imposible that ball1 is rolling",False,False,136,True
324,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"A few seconds following these changes, ball0 will begin to move right of ball1",False,False,136,True
325,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"A few seconds following these changes, it is imposible that ball1 collided with the invPyramid",False,False,136,True
326,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"A few seconds following these changes, it isimposible that ball1 collided with the invPyramid",False,False,136,True
327,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"A few seconds following these changes, ball0 will begin to move below ball1",False,False,136,True
329,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"Overall, it is imposible that ball0 is right of ball1",True,True,136,True
330,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"Overall, it is certain that ball0 is below ball1",False,False,136,True
331,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"Overall, ball0 will begin to move right of ball1",False,False,136,True
332,"In a simulation, there is a ball (ball0), and another ball (ball1). They are placed in mid-air a bit above a bowl, ball1 right of ball0.","After a little bit, ball1 experiences very little gravity",723171,"Overall, ball1 will begin to move below ball0",False,False,136,True
336,"In a simulation, there is a ball. It is placed in mid-air a bit above a flat platform with a cliff to the right.",,7474958,"After a fraction of a seccond, it is unlikely that the ball is moving",False,False,112,True
339,"In a simulation, there is a ball. It is placed in mid-air a bit above a flat platform with a cliff to the right.",,7474958,"After a fraction of a seccond, it is imposible that the ball is moving",False,False,112,True
340,"In a simulation, there is a ball which experiences reversed gravity. It is placed in mid-air a bit above a platform.",,2896305,"After a fraction of a seccond, it is certain that the ball is rolling",False,False,116,True
341,"In a simulation, there is a ball which experiences reversed gravity. It is placed in mid-air a bit above a platform.",,2896305,"Across a few seconds of time, the ball will begin to be moving",True,True,116,True
343,"In a simulation, there is a ball which experiences reversed gravity. It is placed in mid-air a bit above a platform.",,2896305,"After a few seconds of time, it is certain that the ball is rolling",False,False,116,True
344,"In a simulation, there is a ball which experiences reversed gravity. It is placed in mid-air a bit above a platform.",,2896305,"Across a fraction of a seccond, the ball will not begin to be rolling",True,True,116,True
347,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"After a few seconds of time, it is reasonable that cube0 collided with the platform",True,True,187,True
348,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"After a few seconds of time, it is certain that cube2 is below cube1",False,False,187,True
349,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"After a fraction of a second, it is certain that cube2 is above cube1",False,False,187,True
350,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"After a fraction of a second, it is unlikely that cube2 is rolling",True,True,187,True
351,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"Across a fraction of a second, cube1 will not begin to move left of cube0",True,True,187,True
352,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"A few seconds following these changes, it is imposible that cube2 is rolling",True,True,187,True
353,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"A few seconds following these changes, it isimpossible that cube0 collided with the platform",False,False,187,True
354,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"A few seconds following these changes, it is impossible that cube1 collided with the platform",False,False,187,True
356,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"A few seconds following these changes, it is unlikely that cube1 is left of cube2",True,True,187,True
358,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"Overall, it is unlikely that cube2 collided with cube1",True,True,187,True
359,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"Overall, it is unlikely that cube2 is below cube1",True,True,187,True
360,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"Overall, cube2 will not begin to move above cube1",True,True,187,True
361,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"Overall, it is certain that cube2 is below cube0",False,False,187,True
362,"In a simulation, there is a cube (cube0), another cube (cube1), and a third cube (cube2). They are placed in mid-air a bit above a platform, cube1 right of cube0, and cube2 left of cube1.","After a little bit, cube0 gains a good amount of friction",1350591,"Overall, cube2 will not begin to collide with the platform",False,False,187,True
363,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"After a fraction of a seccond, it is likely that the ball is moving",True,True,77,True
364,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"After a few seconds of time, it is imposible that the ball is rolling",False,False,77,True
365,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"After a few seconds of time, it is likely that the ball is moving",True,True,77,True
367,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"Overall, it is reasonable that the ball is moving",True,True,77,True
368,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"Overall, it is imposible that the ball is rolling",False,False,77,True
369,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"Overall, it is likely that the ball is rolling",True,True,77,True
370,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"Overall, it is likely that the ball is moving",True,True,77,True
371,"In a simulation, there is a ball. It is placed in mid-air a bit above a bowl.","After a little bit, the ball experiences very little gravity",1713042,"Overall, it is reasonable that the ball is rolling",True,True,77,True
372,"In a simulation, there is a cube. It is placed in mid-air a bit above a staircase desending to the right.",,5984038,"After a few seconds of time, it isimposible that the cube is moving",False,False,105,True
374,"In a simulation, there is a cube. It is placed in mid-air a bit above a staircase desending to the right.",,5984038,"After a few seconds of time, it is imposible that the cube is moving",False,False,105,True
375,"In a simulation, there is a cube. It is placed in mid-air a bit above a staircase desending to the right.",,5984038,"Across a fraction of a seccond, the cube will begin to collide with the staircase desending to the right",False,False,105,True
376,"In a simulation, there is a cube. It is placed in mid-air a bit above a staircase desending to the right.",,5984038,"Across a fraction of a seccond, the cube will begin to be rolling",False,False,105,True
377,"In a simulation, there is a cube which is very slipery. It is placed in mid-air a bit above a bowl.",,3370228,"After a fraction of a seccond, it is certain that the cube is moving",True,True,99,True
380,"In a simulation, there is a cube which is very slipery. It is placed in mid-air a bit above a bowl.",,3370228,"Across a fraction of a seccond, the cube will begin to collide with the invPyramid",False,False,99,True
382,"In a simulation, there is a ball which does not experience gravity. It is placed in mid-air a bit above a platform sloping down to the right.",,3948431,"After a fraction of a seccond, it is unlikely that the ball is moving",True,True,141,True
383,"In a simulation, there is a ball which does not experience gravity. It is placed in mid-air a bit above a platform sloping down to the right.",,3948431,"After a few seconds of time, it is unlikely that the ball is moving",True,True,141,True
384,"In a simulation, there is a ball which does not experience gravity. It is placed in mid-air a bit above a platform sloping down to the right.",,3948431,"Across a fraction of a seccond, the ball will begin to be moving",False,False,141,True
385,"In a simulation, there is a ball which does not experience gravity. It is placed in mid-air a bit above a platform sloping down to the right.",,3948431,"Across a fraction of a seccond, the ball will begin to be rolling",False,False,141,True
386,"In a simulation, there is a ball which does not experience gravity. It is placed in mid-air a bit above a platform sloping down to the right.",,3948431,"Across a few seconds of time, the ball will not begin to be rolling",True,True,141,True
389,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"After a fraction of a seccond, it is reasonable that the cube is moving",True,True,81,True
390,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"After a fraction of a seccond, it is certain that the cube is rolling",False,False,81,True
391,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"Across a fraction of a seccond, the cube will begin to be rolling",False,False,81,True
393,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"A few seconds following these changes, it is certain that the cube is rolling",False,False,81,True
394,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"A few seconds following these changes, the cube will begin to be rolling",False,False,81,True
395,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"A few seconds following these changes, it is reasonable that the cube collided with the platform",True,True,81,True
396,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"A few seconds following these changes, it is likely that the cube collided with the platform",True,True,81,True
398,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"Overall, it is imposible that the cube collided with the platform",False,False,81,True
399,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"Overall, it is reasonable that the cube collided with the platform",True,True,81,True
400,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"Overall, it is certain that the cube is rolling",False,False,81,True
401,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"Overall, it is likely that the cube collided with the platform",True,True,81,True
402,"In a simulation, there is a cube. It is placed in mid-air a bit above a platform.","After a little bit, the cube is pushed right",656849,"Overall, the cube will not begin to collide with the platform",False,False,81,True
403,"In a simulation, there is a cube, a ball (ball1), and another ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 above of the cube, and ball2 below of ball1.",,5033113,"Across a fraction of a seccond, ball1 will not begin to move right of ball2",True,True,208,True
404,"In a simulation, there is a cube, a ball (ball1), and another ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 above of the cube, and ball2 below of ball1.",,5033113,"Across a fraction of a seccond, ball1 will begin to move below ball2",False,False,208,True
405,"In a simulation, there is a cube, a ball (ball1), and another ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 above of the cube, and ball2 below of ball1.",,5033113,"Across a fraction of a seccond, the cube will begin to be rolling",False,False,208,True
406,"In a simulation, there is a cube, a ball (ball1), and another ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 above of the cube, and ball2 below of ball1.",,5033113,"Across a fraction of a seccond, ball1 will begin to move below the cube",False,False,208,True
407,"In a simulation, there is a cube, a ball (ball1), and another ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 above of the cube, and ball2 below of ball1.",,5033113,"Across a fraction of a seccond, ball1 will begin to collide with the cube",False,False,208,True
408,"In a simulation, there is a cube, a ball (ball1), and another ball (ball2). They are placed in mid-air a bit above a flat platform with a cliff to the right, ball1 above of the cube, and ball2 below of ball1.",,5033113,"After a fraction of a seccond, it is imposible that ball2 is right of the cube",True,True,208,True
